Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2019-01-11,6971.48,6975.65,6933.6,10522235810959.0,10995525.0
2019-01-14,6905.92,6936.22,6887.48,10423190220209.0,73026145.0
2019-01-15,7023.83,7025.85,6928.12,10601186071494.0,2935822.0
2019-01-16,7034.69,7079.63,7028.12,10617755234880.0,9885411.0
2019-01-17,7084.46,7113.95,7003.62,10693057263878.0,51986347.0
2019-01-18,7157.23,7185.38,7096.62,10803039146983.0,2819206.0
2019-01-22,7020.36,7110.16,6979.81,10596190613194.0,608559.0
2019-01-23,7025.77,7084.85,6953.23,10600723534464.0,2396815.0
2019-01-24,7073.46,7078.96,7029.95,10672696337694.0,30974162.0
2019-01-25,7164.86,7174.56,7111.09,10810596383785.0,259744325.0
2019-01-28,7085.68,7086.3,7034.25,10691133919128.0,8932425.0
2019-01-29,7028.29,7092.29,7011.47,10604122526810.0,25848489.0
2019-01-30,7183.08,7201.31,7065.57,10838134245814.0,1052683454.0
2019-01-31,7281.74,7303.12,7205.95,10987013957402.0,574363653.0
2019-02-01,7263.87,7299.94,7243.41,10959327891626.0,114205529.0
2019-02-04,7347.54,7348.23,7261.07,11084521410328.0,188105468.0
2019-02-05,7402.08,7408.68,7355.36,11166907527049.0,169571733.0
2019-02-06,7375.28,7410.77,7346.72,11127530784617.0,2027841142.0
2019-02-07,7288.35,7336.74,7235.05,10996476745982.0,403398176.0
2019-02-08,7298.2,7299.44,7225.14,11014745175700.0,3698565127.0
2019-02-11,7307.9,7343.56,7290.03,11031053506888.0,114282624.0
2019-02-12,7414.62,7419.43,7349.8,11186482181483.0,77045030.0
2019-02-13,7420.38,7461.66,7413.84,11195607310560.0,82399309.0
2019-02-14,7426.95,7454.42,7375.71,11205784364499.0,1781094019.0
2019-02-15,7472.41,7477.28,7440.26,11275090213579.0,138479628.0
2019-02-19,7486.77,7507.79,7450.27,11286523464362.0,94803779.0
2019-02-20,7489.07,7513.7,7455.25,11292187329326.0,3975235829.0
2019-02-21,7459.71,7485.75,7430.89,11244761034950.0,48317116.0
2019-02-22,7527.54,7527.54,7479.01,11345470777411.0,284869845.0
2019-02-25,7554.46,7602.69,7551.61,11386089390636.0,91321328.0
2019-02-26,7549.3,7573.22,7524.31,11378361995029.0,215871712.0
2019-02-27,7554.51,7562.29,7485.39,11386762274450.0,695086787.0
2019-02-28,7532.53,7561.9,7516.48,11353639528023.0,2389750890.0
2019-03-01,7595.35,7603.04,7540.75,11446865536176.0,253358985.0
2019-03-04,7577.57,7643.66,7501.56,11420070973508.0,144678238.0
2019-03-05,7576.36,7598.66,7543.54,11418215446659.0,71492743.0
2019-03-06,7505.92,7579.02,7499.87,11311920866779.0,842872547.0
2019-03-07,7421.46,7489.08,7397.19,11184640767257.0,1926831982.0
2019-03-08,7408.14,7411.52,7332.92,11165487564197.0,486764126.0
2019-03-11,7558.06,7558.23,7442.4,11390536845951.0,102438168.0
2019-03-12,7591.03,7611.13,7560.46,11440637771899.0,104272042.0
2019-03-13,7643.41,7677.07,7619.46,11519880738587.0,132572485.0
2019-03-14,7630.91,7653.1,7627.02,11501230394980.0,1885344275.0
2019-03-15,7688.53,7714.96,7652.04,11591586772192.0,372730809.0
2019-03-18,7714.48,7737.67,7677.74,11598972250015.0,20656797.0
2019-03-19,7723.95,7767.89,7699.15,11613829046391.0,441634845.0
2019-03-20,7728.97,7779.24,7674.04,11621462638819.0,1126253967.0
2019-03-21,7838.96,7850.11,7705.43,11718127164104.0,64467312.0
2019-03-22,7642.67,7817.83,7642.57,11423834525946.0,17876718.0
2019-03-25,7637.54,7662.38,7579.29,11416428855673.0,12372432.0
2019-03-26,7691.52,7738.17,7649.21,11498224041038.0,13468132.0
2019-03-27,7643.38,7712.84,7582.09,11431997917407.0,369958832.0
2019-03-28,7669.17,7689.16,7619.82,11472667251660.0,1335058533.0
2019-03-29,7729.32,7733.62,7688.51,11564157810864.0,125492524.0
2019-04-01,7828.91,7831.45,7777.09,11726813391461.0,1012465.0
2019-04-02,7848.69,7854.92,7811.28,11757110088686.0,1013172818.0
2019-04-03,7895.55,7938.26,7870.9,11827551815423.0,2932327.0
2019-04-04,7891.78,7917.65,7844.96,11822122225760.0,1675521993.0
2019-04-05,7938.69,7940.45,7909.14,11890333803333.0,54558944.0
2019-04-08,7953.88,7955.9,7891.85,11913242388441.0,37677979.0
2019-04-09,7909.28,7945.55,7897.61,11846708584503.0,178722225.0
2019-04-10,7964.24,7965.33,7916.9,11932785943615.0,5979276.0
2019-04-11,7947.36,7975.2,7933.41,11907570886614.0,28203461.0
2019-04-12,7984.16,7992.09,7952.61,11962789036696.0,108608409.0
2019-04-15,7976.01,7993.33,7933.56,11950657737479.0,512327.0
2019-04-16,8000.23,8017.56,7978.81,11986569923637.0,3573831.0
2019-04-17,7996.08,8052.4,7973.38,11982244002467.0,60603145.0
2019-04-18,7998.06,8002.31,7950.97,11984910459093.0,8568926.0
2019-04-22,8015.27,8017.15,7965.9,12013004631039.0,4581376.0
2019-04-23,8120.82,8128.87,8023.81,12171440578121.0,124095639.0
2019-04-24,8102.01,8139.55,8101.7,12144907341104.0,18402218.0
2019-04-25,8106.29,0.0,0.0,12151329949783.0,27353025.0
2019-04-26,8133.96,0.0,0.0,12192863653225.0,382691017.0
2019-04-29,8149.39,0.0,0.0,12216188322247.0,200889889.0
2019-04-30,8095.39,8124.61,8050.55,12135270618311.0,328257427.0
2019-05-01,8049.64,8146.0,8048.23,12066616338595.0,45869371.0
2019-05-02,8036.77,8094.06,7976.77,12047453468349.0,96987727.0
2019-05-03,8164.0,8164.71,8084.8,12242712853616.0,947243154.0
2019-05-06,8123.29,8135.54,7981.85,12172435085656.0,1620819285.0
2019-05-07,7963.76,8070.97,7899.02,11933155885629.0,614160222.0
